context_3,context_2,context_1,response
,,,"В принципе есть отдельная задача в NLP, language detection, решения от простых до сложных, но и простые работают

Так что я бы в сторону токенов смотрел бы. Человек когда читает, ему неважно из какой раскладки А"
,,,"Всем привет. Недавно заинтересовал trading, можете подсказать куда развиваться в этой области от классического ML и DL?"
,,"Всем привет. Недавно заинтересовал trading, можете подсказать куда развиваться в этой области от классического ML и DL?",В личку напишите - обсудим
,"Всем привет. Недавно заинтересовал trading, можете подсказать куда развиваться в этой области от классического ML и DL?",В личку напишите - обсудим,"потенциально опасный ответ, у меня примерно тот же вопрос - тоже можно в личку написать?"
"Всем привет. Недавно заинтересовал trading, можете подсказать куда развиваться в этой области от классического ML и DL?",В личку напишите - обсудим,"потенциально опасный ответ, у меня примерно тот же вопрос - тоже можно в личку написать?",you welcome
,,,"Я все больше слышу в последнее время что люди рисерчат применение NLP в трейдинге. И вот думаю, какой потенциал этого в контексте high frequency..

Кто что читал/слышал про применение NLP в hft на практике? И круто если есть пример конкретный где и как"
,,"Я все больше слышу в последнее время что люди рисерчат применение NLP в трейдинге. И вот думаю, какой потенциал этого в контексте high frequency..

Кто что читал/слышал про применение NLP в hft на практике? И круто если есть пример конкретный где и как","https://arxiv.org/pdf/2212.01807.pdf

Мнения?)"
,,,"Либо вообще в трейдинге, не обязательно hft 😁 любой материал интересен!"
,,"Либо вообще в трейдинге, не обязательно hft 😁 любой материал интересен!","""Вообще в трейдинге"" как раз много материалов, bloombergGPT тот же) Даже тут в чате обсуждали было дело"
,"Либо вообще в трейдинге, не обязательно hft 😁 любой материал интересен!","""Вообще в трейдинге"" как раз много материалов, bloombergGPT тот же) Даже тут в чате обсуждали было дело","Ну прям классический нлп, типа новоости, жпт и все такое я знаю) подумала,  что вы именно о подходах нлп конкретно к данным в трейдинге)"
"Либо вообще в трейдинге, не обязательно hft 😁 любой материал интересен!","""Вообще в трейдинге"" как раз много материалов, bloombergGPT тот же) Даже тут в чате обсуждали было дело","Ну прям классический нлп, типа новоости, жпт и все такое я знаю) подумала,  что вы именно о подходах нлп конкретно к данным в трейдинге)",Откровенно говоря мне тоже больше интересно применение поверх трейдинговых данных
"""Вообще в трейдинге"" как раз много материалов, bloombergGPT тот же) Даже тут в чате обсуждали было дело","Ну прям классический нлп, типа новоости, жпт и все такое я знаю) подумала,  что вы именно о подходах нлп конкретно к данным в трейдинге)",Откровенно говоря мне тоже больше интересно применение поверх трейдинговых данных,"ну я применяю какой-то 5y-ago (всякие атеншены и проч) на ивент уровне данных, работает неплохо в моей парадигме, особенно для развивающихся рынков"
,,,подходы из NLP или буквально NLP?
,,подходы из NLP или буквально NLP?,Подходы тоже интересно
,,,"кажется что именно в hft у nlp не может быть никакого применения, просто из за скорости"
,,"кажется что именно в hft у nlp не может быть никакого применения, просто из за скорости","+ может конечно как категориальный признак режима, но не думаю, что это может быть сильно важным чем-то"
,"кажется что именно в hft у nlp не может быть никакого применения, просто из за скорости","+ может конечно как категориальный признак режима, но не думаю, что это может быть сильно важным чем-то","подразумеваю, что оно не меняется в течение дня/часа/минуты (время реализации выше времени подсчета)"
"кажется что именно в hft у nlp не может быть никакого применения, просто из за скорости","+ может конечно как категориальный признак режима, но не думаю, что это может быть сильно важным чем-то","подразумеваю, что оно не меняется в течение дня/часа/минуты (время реализации выше времени подсчета)","аа, вот теперь понял, интересная мысль"
,,,а у кого то из чата получилось посмотреть?
,,а у кого то из чата получилось посмотреть?,"тыкал его, выглядит как просто прикольный плагин  для чатгпт"
,а у кого то из чата получилось посмотреть?,"тыкал его, выглядит как просто прикольный плагин  для чатгпт",плагин который транслирует в блумбовый язык запросов и имеет знание как там все называется
,,,"глобально подходы работают, какие именно и с какими танцами — не скажу)"
,,"глобально подходы работают, какие именно и с какими танцами — не скажу)",Только хотел попросить рассказать поподробнее)
,,,"Слушай, ""какие именно и с какими танцами"" и не думал просить"
,,,"Но вот интересно, какие методы именно nlp-специфичные могут быть полезными"
,,"Но вот интересно, какие методы именно nlp-специфичные могут быть полезными","Хз, классик нор к сигнал процесс Синг - ну хз"
,,,"так а что такое NLP-специфичные, представь каждый бакет (трейд, филл, минута) как токен, и подходы ставим, вопрос в том что тут signal 2 noice ration"
,,"так а что такое NLP-специфичные, представь каждый бакет (трейд, филл, минута) как токен, и подходы ставим, вопрос в том что тут signal 2 noice ration",Звучит как анекдот)
,,,"необычный, скажем так"
,,"необычный, скажем так","Есть методы всякие в ml, которые в nlp применяют, но также применяют и в других местах

Например взять какой-нибудь subsampling или наоборот augmentation, когда датасет собирают для оценки тональности текста
Эти механики общие, и в трейдинге применяются
Но с другой стороны, я лично никогда глубоко nlp не изучал, и интересно что более часто именно в этой сфере применяется, но могло бы работать и в трейдинге"
,,,Раз уж про nlp - кто-то пробовал скармливать рыночные данные в трансформер?
,,Раз уж про nlp - кто-то пробовал скармливать рыночные данные в трансформер?,"Сделать можно, смысле мало"
,,,у нас более значимая проблема
,,у нас более значимая проблема,equilibrium propagation
,,,идеи начали кончаться
,,идеи начали кончаться,Тогда самое время херакнуть llm на hft данных:))) только пожирнее модель конечно:)))
,,,В целом language modeling и nlp не сильно пересекается с signal processing
,,В целом language modeling и nlp не сильно пересекается с signal processing,"Signal processing тоже не сильно пересекается с маркет дата (вернее исторически так сложилось, что подошли с этой стороны, но дорожки уже давно разошлись)"
,В целом language modeling и nlp не сильно пересекается с signal processing,"Signal processing тоже не сильно пересекается с маркет дата (вернее исторически так сложилось, что подошли с этой стороны, но дорожки уже давно разошлись)",да ладно. Все MA - это фнч фильтры. Качество этих фильтров - ну это уже второй вопрос
В целом language modeling и nlp не сильно пересекается с signal processing,"Signal processing тоже не сильно пересекается с маркет дата (вернее исторически так сложилось, что подошли с этой стороны, но дорожки уже давно разошлись)",да ладно. Все MA - это фнч фильтры. Качество этих фильтров - ну это уже второй вопрос,Фнч?
,,,"Нашли админа ебаных идей для ресерча, слава богу"
,,"Нашли админа ебаных идей для ресерча, слава богу","правда много пишет,выдохнется скоро"
,,,(соре я tupoy ds ваще не шарю за квантовые движения)
,,(соре я tupoy ds ваще не шарю за квантовые движения),Ты сейчас про разметку или про что ?
,,,"Сетка не отличит А английскую от А русской, если не будет каких-то различий в том, как они выглядят"
,,"Сетка не отличит А английскую от А русской, если не будет каких-то различий в том, как они выглядят","кхм... ну я бы поспорил. например если есть контекст, в рамках которого идет распознавание. в таком случае в слове ZAZ может распознаться латинская, а в слове ГАГ - русская :)"
,,,а как сейчас?
,,а как сейчас?,"Чисто методами обработки сигнала сыт не будешь, да и специфика применения очевидно сильно отличается от электроники."
,,,новая мемофабрика
,,новая мемофабрика,скретч язык 💀💀💀
,новая мемофабрика,скретч язык 💀💀💀,😀
,,,ну а какие?
,,ну а какие?,А можно расшифровку?
,,,фильтры нижних частот
,,фильтры нижних частот,"А есть фильтры, которые без лага низкие частоты фильтруют?"
,фильтры нижних частот,"А есть фильтры, которые без лага низкие частоты фильтруют?",они фильтруют высокие. Низкие-то зачем? Там вся информация
,,,лаг нельзя обойти т.к. природу нельзя обмануть - часть информации из сигнала удаляется. Но вокруг этого все танцы с бубнами и происходят
,,,"Всем привет, тут резюмешка, пытаюсь пробиться на intern/junior CV/ML engineer, буду рад фидбеку)"
,,"Всем привет, тут резюмешка, пытаюсь пробиться на intern/junior CV/ML engineer, буду рад фидбеку)","Лучше описать не просто задачу и что делала команда, а какая была роль именно у вас
Исходя из резюме непонятно, они делали, а вы рядом стояли, или вы делали, а они рядом стояли"
,"Всем привет, тут резюмешка, пытаюсь пробиться на intern/junior CV/ML engineer, буду рад фидбеку)","Лучше описать не просто задачу и что делала команда, а какая была роль именно у вас
Исходя из резюме непонятно, они делали, а вы рядом стояли, или вы делали, а они рядом стояли","Понял, спасибо"
,,,Стоит уложить все резюме в одну страничку
,,Стоит уложить все резюме в одну страничку,Ну это бывает очень тяжело...
,Стоит уложить все резюме в одну страничку,Ну это бывает очень тяжело...,Можно же шрифт уменьшить...
,,,"зависит от требований и ожиданий, личного минимума, бюджета и т.п. Мы на Бали, но планируем скоро уехать, минусы плавно перевешивают плюсы, о многих минусах не говорят (но это по всей ЮВ Азии, если блоги и чаты почитать, особенно комменты). Планируем посмотреть тай и вьетнам, но во вьетнаме новая визовая политика начнет действовать с 15 августа только. На Бали одним из плюсов была возможность заранее онлайн оформить 211 визу на 60 дней и потом продлевать ее еще 2 раза по 60 дней"
,,"зависит от требований и ожиданий, личного минимума, бюджета и т.п. Мы на Бали, но планируем скоро уехать, минусы плавно перевешивают плюсы, о многих минусах не говорят (но это по всей ЮВ Азии, если блоги и чаты почитать, особенно комменты). Планируем посмотреть тай и вьетнам, но во вьетнаме новая визовая политика начнет действовать с 15 августа только. На Бали одним из плюсов была возможность заранее онлайн оформить 211 визу на 60 дней и потом продлевать ее еще 2 раза по 60 дней","> На Бали одним из плюсов была возможность заранее онлайн оформить 211 визу на 60 дней и потом продлевать ее еще 2 раза по 60 дней

Сейчас такой возможности нет? Я думал, отменили только возможность оншор-продления спустя полгода"
,"зависит от требований и ожиданий, личного минимума, бюджета и т.п. Мы на Бали, но планируем скоро уехать, минусы плавно перевешивают плюсы, о многих минусах не говорят (но это по всей ЮВ Азии, если блоги и чаты почитать, особенно комменты). Планируем посмотреть тай и вьетнам, но во вьетнаме новая визовая политика начнет действовать с 15 августа только. На Бали одним из плюсов была возможность заранее онлайн оформить 211 визу на 60 дней и потом продлевать ее еще 2 раза по 60 дней","> На Бали одним из плюсов была возможность заранее онлайн оформить 211 визу на 60 дней и потом продлевать ее еще 2 раза по 60 дней

Сейчас такой возможности нет? Я думал, отменили только возможность оншор-продления спустя полгода","такая есть, неправильно написал. Имел в виду, что такая возможность была на момент принятия решения о поездке. Сейчас офшор 211 все так же оформляют, а вот оншор 211 можно только продлевать ранее выданные, новые больше не оформить, только визаран"
,,,"сеньоры, утра доброго (у кого утро). 
Хотел бы посоветоваться про mlops архитектуру на новом месте работы - насколько нужна, в контексте стоящих задач. Но лучше в личку.
И если кто-то может посоветовать менторские программы какие-то, было бы круто."
,,,"Хай.
Хочу посоветоваться. Задача: распознавание дефектов на продукции. 
Снимки по 20 Мегапискелей, зело тяжелые. И их много. 
Вопрос: как быть с разметкой(много размечать,  есть пара идей, но может что-то автоматическое уже придумалось в мире).
и как вообще работать с такими тяжелыми данными. Типа датасет на сотню гигабайт это норма. Ходить за таким на сервер безумие. Наверняка есть решения. Кроме как в папке проекта все держать."
,,"Хай.
Хочу посоветоваться. Задача: распознавание дефектов на продукции. 
Снимки по 20 Мегапискелей, зело тяжелые. И их много. 
Вопрос: как быть с разметкой(много размечать,  есть пара идей, но может что-то автоматическое уже придумалось в мире).
и как вообще работать с такими тяжелыми данными. Типа датасет на сотню гигабайт это норма. Ходить за таким на сервер безумие. Наверняка есть решения. Кроме как в папке проекта все держать.",Звучит так как буд-то это должно помочь. https://github.com/amazon-science/patchcore-inspection Там просто нужно по папкам распихать снимки с разными дефектами и отдельно без дефектов. Модель сама научиться сегментировать дефекты
,"Хай.
Хочу посоветоваться. Задача: распознавание дефектов на продукции. 
Снимки по 20 Мегапискелей, зело тяжелые. И их много. 
Вопрос: как быть с разметкой(много размечать,  есть пара идей, но может что-то автоматическое уже придумалось в мире).
и как вообще работать с такими тяжелыми данными. Типа датасет на сотню гигабайт это норма. Ходить за таким на сервер безумие. Наверняка есть решения. Кроме как в папке проекта все держать.",Звучит так как буд-то это должно помочь. https://github.com/amazon-science/patchcore-inspection Там просто нужно по папкам распихать снимки с разными дефектами и отдельно без дефектов. Модель сама научиться сегментировать дефекты,"А вот не уверен. 
Специфика и всё такое
Но попробую."
,,,"Идеи semi-supervised подход, и попробовать SAM заюзать, посмотреть что вернет"
,,,"Sam точно стоит попробовать, а пересохранить со сжатием не вариант?"
,,"Sam точно стоит попробовать, а пересохранить со сжатием не вариант?",не все дефекты видно
,,,"Ребят, может кто-то проходил курсы по CV от DeepSchool, посоветуйте, стоит ли оно своих денег для джуна?"
,,"Ребят, может кто-то проходил курсы по CV от DeepSchool, посоветуйте, стоит ли оно своих денег для джуна?","У них вроде не для джунов курс (хотя джун джуну рознь). Но, честно говоря, рекомендовал бы скорее посты в их тг канале изучать - там гораздо больше полезной информации."
,,,"но вообще да, сжимать то я буду. 
Но все равно там много будет"
,,"но вообще да, сжимать то я буду. 
Но все равно там много будет","Всем привет! Подскажите, пожалуйста, есть ли кому известные датасеты для LLM, иллюстрирующие spatial comprehension & reasoning? Чтобы научить LLM расставлять объекты семантически логично (чашка на столе) и корректно по координатам, форме и размеру объектов, без пересечений между твердыми телами (чашка не застряла в столе).
Или может есть prompt-fu на эту тему какой."
,,,"Всем привет!

Подскажите, пожалуйста, где взять ""самые качественные"" эмбеддинги для слов?

Желательно, чтобы модель в Colab / Kaggle помещалась"
,,"Всем привет!

Подскажите, пожалуйста, где взять ""самые качественные"" эмбеддинги для слов?

Желательно, чтобы модель в Colab / Kaggle помещалась","+

где вообще можно взять готовые эмбеддинги на русском языке?"
,"Всем привет!

Подскажите, пожалуйста, где взять ""самые качественные"" эмбеддинги для слов?

Желательно, чтобы модель в Colab / Kaggle помещалась","+

где вообще можно взять готовые эмбеддинги на русском языке?",navec например
,,,"Дефекты должны иметь характерные признаки - текстура, форма, аспекты... MobileSAM => контуры => эвристики => кандидаты (база для разметки)"
,,"Дефекты должны иметь характерные признаки - текстура, форма, аспекты... MobileSAM => контуры => эвристики => кандидаты (база для разметки)","эвристики?
и про ансамбль не очень понятно тоже - что зачем должно идти. Или yolo умеет классифицировать уже сегментированные куски?
Я просто с sam пока не работал.
По здравому смыслу он вернет огромный массив классов, из которых мне надо будет част выкинуть, часть разметить как верные."
,"Дефекты должны иметь характерные признаки - текстура, форма, аспекты... MobileSAM => контуры => эвристики => кандидаты (база для разметки)","эвристики?
и про ансамбль не очень понятно тоже - что зачем должно идти. Или yolo умеет классифицировать уже сегментированные куски?
Я просто с sam пока не работал.
По здравому смыслу он вернет огромный массив классов, из которых мне надо будет част выкинуть, часть разметить как верные.","MobileSAM даст (быстрее остального нынче) более-менее вменяемые контуры. Из них можно или базу составить, прогнав через эвристики, или кластеризовать например эмбеддингами реснета того же.

Там уже глазами отсматривать характерных представителей и/или аномалии.

Даже MobileSAM может на таких фотках работать долго, я бы патчил"
,,,именно для слов?а в контексте какого использования?
,,именно для слов?а в контексте какого использования?,"Да, для слов
Искать близость, проецировать на плоскость для визуализации"
,,,"Всем привет, ищу кто меня мог бы рефнуть в МТС на одну DL вакансию.🙃"
,,"Всем привет, ищу кто меня мог бы рефнуть в МТС на одну DL вакансию.🙃","Куала-Лумпур, наверное"
,"Всем привет, ищу кто меня мог бы рефнуть в МТС на одну DL вакансию.🙃","Куала-Лумпур, наверное","Ещё оншор потом можно было новую делать, а теперь отменили и обязательно вылетать раз в пол года"
,,,"Хм, кто-то видел пост этот?"
,,,"Всем привет!
Подскажите, пожалуйста, что почитать\посмотреть про ценообразование в сфере ритейла"
,,"Всем привет!
Подскажите, пожалуйста, что почитать\посмотреть про ценообразование в сфере ритейла",Ценообразование чего?
,"Всем привет!
Подскажите, пожалуйста, что почитать\посмотреть про ценообразование в сфере ритейла",Ценообразование чего?,"Желательно в продуктовой части, но можно и в других (хочу понять, что к чему)"
"Всем привет!
Подскажите, пожалуйста, что почитать\посмотреть про ценообразование в сфере ритейла",Ценообразование чего?,"Желательно в продуктовой части, но можно и в других (хочу понять, что к чему)",А как это относится к classic ml?
Ценообразование чего?,"Желательно в продуктовой части, но можно и в других (хочу понять, что к чему)",А как это относится к classic ml?,Оно не относится?
"Желательно в продуктовой части, но можно и в других (хочу понять, что к чему)",А как это относится к classic ml?,Оно не относится?,Лично я не понял реквест )
,,,"Ну я думал оно относится к классик мл, но если не так, подправьте :)"
,,"Ну я думал оно относится к классик мл, но если не так, подправьте :)","Субъективно: ценообразования история в основном про выстраивание правильного накопления данных, проведения корректных экспериментов и уже на основе всего этого - построение модели. А чем будет строится модель - классическим мл, нейронкой или экспертом - вопрос десятый."
,"Ну я думал оно относится к классик мл, но если не так, подправьте :)","Субъективно: ценообразования история в основном про выстраивание правильного накопления данных, проведения корректных экспериментов и уже на основе всего этого - построение модели. А чем будет строится модель - классическим мл, нейронкой или экспертом - вопрос десятый.","Понял, спасибо, но получается и тут можно спросить об этом :)"
"Ну я думал оно относится к классик мл, но если не так, подправьте :)","Субъективно: ценообразования история в основном про выстраивание правильного накопления данных, проведения корректных экспериментов и уже на основе всего этого - построение модели. А чем будет строится модель - классическим мл, нейронкой или экспертом - вопрос десятый.","Понял, спасибо, но получается и тут можно спросить об этом :)","А на счет почитать - погуглите, возможно от х5 какие-то дельные материалы где-нибудь публиковались. Опять же, субъективно: чужой опыт в лучшем случае даст общее направление. Большинство шишек все равно придется набивать самостоятельно."
"Субъективно: ценообразования история в основном про выстраивание правильного накопления данных, проведения корректных экспериментов и уже на основе всего этого - построение модели. А чем будет строится модель - классическим мл, нейронкой или экспертом - вопрос десятый.","Понял, спасибо, но получается и тут можно спросить об этом :)","А на счет почитать - погуглите, возможно от х5 какие-то дельные материалы где-нибудь публиковались. Опять же, субъективно: чужой опыт в лучшем случае даст общее направление. Большинство шишек все равно придется набивать самостоятельно.","Да понимаю, мне бы первоначальный вектор развития задать, спасибо!"
"Понял, спасибо, но получается и тут можно спросить об этом :)","А на счет почитать - погуглите, возможно от х5 какие-то дельные материалы где-нибудь публиковались. Опять же, субъективно: чужой опыт в лучшем случае даст общее направление. Большинство шишек все равно придется набивать самостоятельно.","Да понимаю, мне бы первоначальный вектор развития задать, спасибо!","Первоначальный вектор лежит в микроэкономике. Цена = деньги / количество, эластичность и тп"
"А на счет почитать - погуглите, возможно от х5 какие-то дельные материалы где-нибудь публиковались. Опять же, субъективно: чужой опыт в лучшем случае даст общее направление. Большинство шишек все равно придется набивать самостоятельно.","Да понимаю, мне бы первоначальный вектор развития задать, спасибо!","Первоначальный вектор лежит в микроэкономике. Цена = деньги / количество, эластичность и тп",Благодарю
,,,"Всем привет, оцените пожалуйста резюме. Пытаюсь в junior/middle data scientist (ml engineer) или data analyst (с упором на classic ml)"
,,"Всем привет, оцените пожалуйста резюме. Пытаюсь в junior/middle data scientist (ml engineer) или data analyst (с упором на classic ml)",fasttext мб?
,"Всем привет, оцените пожалуйста резюме. Пытаюсь в junior/middle data scientist (ml engineer) или data analyst (с упором на classic ml)",fasttext мб?,"Хотелось бы для русского и английского языков (отдельно, не в одном пространстве)

Думал просто из Берта взять, у кого качество получше"
"Всем привет, оцените пожалуйста резюме. Пытаюсь в junior/middle data scientist (ml engineer) или data analyst (с упором на classic ml)",fasttext мб?,"Хотелось бы для русского и английского языков (отдельно, не в одном пространстве)

Думал просто из Берта взять, у кого качество получше","ну тут есть дискуссия шо у берта не самые лучшие представления именно слов
хотя если брать не выход а чисто слой эмбединга - може быть
тема вроде старая и холиварная"
fasttext мб?,"Хотелось бы для русского и английского языков (отдельно, не в одном пространстве)

Думал просто из Берта взять, у кого качество получше","ну тут есть дискуссия шо у берта не самые лучшие представления именно слов
хотя если брать не выход а чисто слой эмбединга - може быть
тема вроде старая и холиварная","А, вот что за серия постов и за что удалили"
"Хотелось бы для русского и английского языков (отдельно, не в одном пространстве)

Думал просто из Берта взять, у кого качество получше","ну тут есть дискуссия шо у берта не самые лучшие представления именно слов
хотя если брать не выход а чисто слой эмбединга - може быть
тема вроде старая и холиварная","А, вот что за серия постов и за что удалили","Хотя...
Может быть это третий кусочек решения. Спасибо!"
,,,Разорились - это сколько за месяц вышло ? За сколько жилье снимали ?
,,Разорились - это сколько за месяц вышло ? За сколько жилье снимали ?,90 000₽ выходило за двушку с кухней далеко от моря по старому курсу у ребят
,Разорились - это сколько за месяц вышло ? За сколько жилье снимали ?,90 000₽ выходило за двушку с кухней далеко от моря по старому курсу у ребят,"Жёстко , на airbnb вроде подешевле аналогичные варианты есть 
Может в самый сезон в ноябре с китайцами приехали ? Но да, Пхукет точно не из дешёвых )"
Разорились - это сколько за месяц вышло ? За сколько жилье снимали ?,90 000₽ выходило за двушку с кухней далеко от моря по старому курсу у ребят,"Жёстко , на airbnb вроде подешевле аналогичные варианты есть 
Может в самый сезон в ноябре с китайцами приехали ? Но да, Пхукет точно не из дешёвых )",Январь февраль были
,,,"Мы жили в Хуа Хине, однушку снимали за 14к бат, потом зимой в сезон находили такую же минимум за 20к. Отец снимает двушку за 25к бат, тоже ещё в несезон взял. В Бангкоке тоже находили по таким же ценам.

Если нет прав или страшно ездить, острова лучше вообще не выбирать. Если нет прав, лучше Чианг Май, Бангкок, Хуа Хин, Паттайя.

Хуа Хин дешевле всего, думаю, потому что меньше всего. Учебную делали за 21-27к бат за год, на Пхукете и в Чианг Мае минимум был под 40, если правильно помню, а в Паттайе иммиграшка злая.

В Хуа Хине ещё один плюс — по сравнению с остальными местами в городе достаточно сухо (вещи все же сушатся и стены от влажности не гниют), а в сезон дождей город почти не затапливает.

Минус, пожалуй, в том, что коворкингов нет — их постоянно разгоняют. Зато классный спот для кайт-серфинга. Но сам город вообще не клубный, например.

Чианг Май хорош, если хочется прохладнее и горы, но нет моря и осенью смог из-за того, что жгут траву. На Лой-Кратонг в ноябре там очень красиво :)
Ещё одна неочевидная проблема Тая: после учебной визы тяжело визаранить. Допустим, вы хотите побыть там не 12 и не 24 месяца, а 14 или типа того. Не оформляйте тур визы в Малайзии… это нигде не написано, но турвизы должны выдавать только если за последний год вы в Тае провели меньше, чем 6 месяцев. Мы за последний год в Тае провели 12 месяцев (🤡), и поэтому возврат в страну нам стоил 2-х часов угроз депортацией, 10к бат с человека и ещё какой-то унизительной бумагой в духе «мы больше никогда не будем визаранить» за нашей подписью
Либо стоит пользоваться специальными компаниями с услугами визарана, потому что офицеры могут очень обижаться, если им не отстегнули грошей за этих фарангов…
Вообще, если есть вопросы по Таю — пишите. На какие-то специфические, наверное, не отвечу, но на общие смогу"
,,,Ваш хуахин в не сезон просто адское пекло
,,Ваш хуахин в не сезон просто адское пекло,"Да как и везде примерно. Что в Бкк +36 было, в Паттайе ещё жарче."
,,,"У всех этих сеток жестокое обломинго с виндсерфингом, только 😀"
,,,Тим лид на 2 курсе кнч мощно
